customer_id,interaction_type,interaction_outcome,payment_method,payment_status,Transaction_type,TheLastTransDate,Months_Since_Last_Transaction,Target
7293,Feedback,Pending,Credit Card,Completed,Purchase,2020-02-06,56,0
7293,Feedback,Pending,PayPal,Refunded,Refund,2020-02-06,56,0
7293,Feedback,Resolved,Credit Card,Completed,Purchase,2020-02-06,56,0
7293,Feedback,Resolved,PayPal,Refunded,Refund,2020-02-06,56,0
7293,Support Request,Implemented,Credit Card,Completed,Purchase,2020-02-06,56,0
7293,Support Request,Implemented,PayPal,Refunded,Refund,2020-02-06,56,0
10444,Feedback,Unresolved,Debit Card,Completed,Purchase,2020-02-06,56,0
10444,Feedback,Unresolved,PayPal,Completed,Refund,2020-02-06,56,0
10444,Feedback,Unresolved,PayPal,Pending,Purchase,2020-02-06,56,0
10444,Support Request,Implemented,Debit Card,Completed,Purchase,2020-02-06,56,0
10444,Support Request,Implemented,PayPal,Completed,Refund,2020-02-06,56,0
10444,Support Request,Implemented,PayPal,Pending,Purchase,2020-02-06,56,0
2964,Complaint,Resolved,PayPal,Completed,Purchase,2020-02-06,56,0
2964,Complaint,Resolved,PayPal,Pending,Refund,2020-02-06,56,0
2964,Support Request,Implemented,PayPal,Completed,Purchase,2020-02-06,56,0
2964,Support Request,Implemented,PayPal,Pending,Refund,2020-02-06,56,0
3158,Complaint,Unresolved,PayPal,Pending,Refund,2020-02-06,56,0
2258,Complaint,Resolved,PayPal,Refunded,Purchase,2020-02-07,56,0
1812,Support Request,Pending,PayPal,Refunded,Purchase,2020-02-07,56,0
7927,Feedback,Pending,PayPal,Refunded,Refund,2020-02-07,56,0
6751,Complaint,Pending,Debit Card,Completed,Purchase,2020-02-08,56,0
6751,Complaint,Pending,Debit Card,Refunded,Refund,2020-02-08,56,0
853,Complaint,Resolved,Debit Card,Pending,Purchase,2020-02-08,56,0
853,Feedback,Implemented,Debit Card,Pending,Purchase,2020-02-08,56,0
8017,Complaint,Pending,Credit Card,Pending,Refund,2020-02-09,56,0
8017,Complaint,Pending,Debit Card,Completed,Refund,2020-02-09,56,0
8017,Feedback,Implemented,Credit Card,Pending,Refund,2020-02-09,56,0
8017,Feedback,Implemented,Debit Card,Completed,Refund,2020-02-09,56,0
9309,Feedback,Implemented,Debit Card,Pending,Purchase,2020-02-10,56,0
7303,Feedback,Unresolved,Debit Card,Completed,Refund,2020-02-11,56,0
203,Complaint,Pending,Credit Card,Completed,Refund,2020-02-11,56,0
203,Feedback,Unresolved,Credit Card,Completed,Refund,2020-02-11,56,0
2629,Complaint,Pending,Credit Card,Completed,Refund,2020-02-11,56,0
2629,Complaint,Pending,Credit Card,Pending,Purchase,2020-02-11,56,0
2629,Complaint,Pending,Debit Card,Pending,Purchase,2020-02-11,56,0
2629,Feedback,Implemented,Credit Card,Completed,Refund,2020-02-11,56,0
2629,Feedback,Implemented,Credit Card,Pending,Purchase,2020-02-11,56,0
2629,Feedback,Implemented,Debit Card,Pending,Purchase,2020-02-11,56,0
2629,Support Request,Resolved,Credit Card,Completed,Refund,2020-02-11,56,0
2629,Support Request,Resolved,Credit Card,Pending,Purchase,2020-02-11,56,0
2629,Support Request,Resolved,Debit Card,Pending,Purchase,2020-02-11,56,0
5434,Support Request,Pending,Debit Card,Pending,Refund,2020-02-11,56,0
5355,Complaint,Pending,Credit Card,Refunded,Refund,2020-02-11,56,0
5355,Complaint,Pending,PayPal,Refunded,Refund,2020-02-11,56,0
4267,Complaint,Resolved,Credit Card,Completed,Refund,2020-02-11,56,0
4267,Complaint,Resolved,Credit Card,Refunded,Purchase,2020-02-11,56,0
4267,Complaint,Resolved,Credit Card,Refunded,Refund,2020-02-11,56,0
9073,Complaint,Pending,PayPal,Refunded,Refund,2020-02-12,56,0
8488,Feedback,Unresolved,Credit Card,Completed,Refund,2020-02-12,56,0
8488,Feedback,Unresolved,PayPal,Pending,Refund,2020-02-12,56,0
8420,Support Request,Resolved,PayPal,Refunded,Refund,2020-02-12,56,0
3236,Support Request,Unresolved,Debit Card,Refunded,Purchase,2020-02-13,56,0
1254,Support Request,Resolved,PayPal,Completed,Refund,2020-02-13,56,0
1254,Support Request,Resolved,PayPal,Pending,Refund,2020-02-13,56,0
413,Complaint,Pending,Debit Card,Completed,Refund,2020-02-14,56,0
1879,Complaint,Resolved,Credit Card,Refunded,Purchase,2020-02-15,56,0
1879,Complaint,Resolved,Debit Card,Completed,Purchase,2020-02-15,56,0
1879,Complaint,Resolved,Debit Card,Completed,Refund,2020-02-15,56,0
1879,Feedback,Pending,Credit Card,Refunded,Purchase,2020-02-15,56,0
1879,Feedback,Pending,Debit Card,Completed,Purchase,2020-02-15,56,0
1879,Feedback,Pending,Debit Card,Completed,Refund,2020-02-15,56,0
2760,Feedback,Unresolved,PayPal,Pending,Refund,2020-02-15,56,0
6758,Support Request,Resolved,Debit Card,Pending,Purchase,2020-02-15,56,0
6758,Support Request,Resolved,Debit Card,Pending,Refund,2020-02-15,56,0
10072,Feedback,Pending,PayPal,Completed,Refund,2020-02-16,56,0
4266,Complaint,Implemented,Credit Card,Pending,Refund,2020-02-16,56,0
4266,Complaint,Implemented,Credit Card,Refunded,Refund,2020-02-16,56,0
4266,Support Request,Implemented,Credit Card,Pending,Refund,2020-02-16,56,0
4266,Support Request,Implemented,Credit Card,Refunded,Refund,2020-02-16,56,0
5331,Feedback,Resolved,Debit Card,Pending,Purchase,2020-02-16,56,0
45,Complaint,Resolved,Credit Card,Pending,Refund,2020-02-16,56,0
45,Support Request,Pending,Credit Card,Pending,Refund,2020-02-16,56,0
968,Complaint,Resolved,Debit Card,Refunded,Purchase,2020-02-16,56,0
6260,Complaint,Pending,PayPal,Completed,Purchase,2020-02-17,56,0
6260,Complaint,Pending,PayPal,Refunded,Purchase,2020-02-17,56,0
6260,Support Request,Resolved,PayPal,Completed,Purchase,2020-02-17,56,0
6260,Support Request,Resolved,PayPal,Refunded,Purchase,2020-02-17,56,0
6970,Feedback,Unresolved,Credit Card,Refunded,Refund,2020-02-17,56,0
10595,Complaint,Resolved,Credit Card,Completed,Purchase,2020-02-18,56,0
10595,Complaint,Resolved,PayPal,Completed,Purchase,2020-02-18,56,0
670,Complaint,Pending,Credit Card,Refunded,Refund,2020-02-18,56,0
4527,Feedback,Resolved,Debit Card,Completed,Refund,2020-02-18,56,0
4527,Feedback,Resolved,Debit Card,Pending,Refund,2020-02-18,56,0
4399,Feedback,Pending,Debit Card,Completed,Purchase,2020-02-18,56,0
4399,Feedback,Pending,Debit Card,Refunded,Refund,2020-02-18,56,0
2560,Feedback,Resolved,Debit Card,Completed,Refund,2020-02-20,56,0
10145,Complaint,Implemented,PayPal,Completed,Purchase,2020-02-20,56,0
10145,Complaint,Implemented,PayPal,Refunded,Refund,2020-02-20,56,0
8331,Complaint,Resolved,Credit Card,Completed,Refund,2020-02-20,56,0
8331,Complaint,Resolved,Credit Card,Refunded,Refund,2020-02-20,56,0
6892,Support Request,Pending,Credit Card,Refunded,Purchase,2020-02-20,56,0
6892,Support Request,Pending,Debit Card,Refunded,Purchase,2020-02-20,56,0
6892,Support Request,Pending,PayPal,Completed,Refund,2020-02-20,56,0
6892,Support Request,Pending,PayPal,Pending,Refund,2020-02-20,56,0
6354,Feedback,Resolved,Credit Card,Pending,Refund,2020-02-21,56,0
6354,Feedback,Resolved,PayPal,Refunded,Refund,2020-02-21,56,0
9643,Support Request,Implemented,Credit Card,Pending,Refund,2020-02-21,56,0
9692,Feedback,Pending,Credit Card,Refunded,Purchase,2020-02-21,56,0
9692,Feedback,Pending,Debit Card,Pending,Refund,2020-02-21,56,0
9692,Support Request,Implemented,Credit Card,Refunded,Purchase,2020-02-21,56,0
9692,Support Request,Implemented,Debit Card,Pending,Refund,2020-02-21,56,0
2566,Complaint,Pending,Credit Card,Refunded,Purchase,2020-02-21,56,0
2566,Feedback,Implemented,Credit Card,Refunded,Purchase,2020-02-21,56,0
4300,Support Request,Pending,PayPal,Refunded,Purchase,2020-02-21,56,0
3720,Complaint,Unresolved,Debit Card,Refunded,Refund,2020-02-21,56,0
3720,Feedback,Implemented,Debit Card,Refunded,Refund,2020-02-21,56,0
3767,Feedback,Pending,Debit Card,Completed,Refund,2020-02-22,56,0
3767,Support Request,Implemented,Debit Card,Completed,Refund,2020-02-22,56,0
3767,Support Request,Unresolved,Debit Card,Completed,Refund,2020-02-22,56,0
10334,Feedback,Unresolved,Debit Card,Completed,Refund,2020-02-22,56,0
5548,Complaint,Implemented,Credit Card,Refunded,Purchase,2020-02-23,56,0
5548,Complaint,Implemented,Debit Card,Completed,Purchase,2020-02-23,56,0
10632,Feedback,Implemented,PayPal,Pending,Purchase,2020-02-24,56,0
10632,Feedback,Pending,PayPal,Pending,Purchase,2020-02-24,56,0
10632,Support Request,Unresolved,PayPal,Pending,Purchase,2020-02-24,56,0
10461,Feedback,Resolved,Credit Card,Completed,Purchase,2020-02-26,56,0
8685,Support Request,Resolved,Credit Card,Pending,Purchase,2020-02-26,56,0
3004,Complaint,Implemented,Debit Card,Completed,Purchase,2020-02-26,56,0
3004,Complaint,Pending,Debit Card,Completed,Purchase,2020-02-26,56,0
4090,Feedback,Unresolved,PayPal,Completed,Purchase,2020-02-26,56,0
2504,Feedback,Unresolved,PayPal,Completed,Purchase,2020-02-26,56,0
828,Complaint,Unresolved,Debit Card,Refunded,Purchase,2020-02-26,56,0
828,Support Request,Pending,Debit Card,Refunded,Purchase,2020-02-26,56,0
4368,Complaint,Implemented,Debit Card,Pending,Refund,2020-02-27,56,0
4368,Complaint,Implemented,PayPal,Refunded,Refund,2020-02-27,56,0
10527,Support Request,Pending,PayPal,Completed,Purchase,2020-02-27,56,0
10527,Support Request,Pending,PayPal,Refunded,Purchase,2020-02-27,56,0
6302,Support Request,Implemented,PayPal,Completed,Refund,2020-02-27,56,0
8788,Complaint,Unresolved,Debit Card,Pending,Refund,2020-02-28,56,0
2463,Support Request,Resolved,Debit Card,Pending,Purchase,2020-02-29,56,0
2463,Support Request,Resolved,PayPal,Completed,Refund,2020-02-29,56,0
3218,Complaint,Implemented,Credit Card,Completed,Refund,2020-03-01,55,0
3218,Complaint,Implemented,Credit Card,Pending,Purchase,2020-03-01,55,0
3218,Complaint,Implemented,Debit Card,Completed,Purchase,2020-03-01,55,0
3218,Complaint,Implemented,Debit Card,Refunded,Refund,2020-03-01,55,0
3218,Complaint,Implemented,PayPal,Refunded,Purchase,2020-03-01,55,0
3218,Complaint,Implemented,PayPal,Refunded,Refund,2020-03-01,55,0
3218,Complaint,Unresolved,Credit Card,Completed,Refund,2020-03-01,55,0
3218,Complaint,Unresolved,Credit Card,Pending,Purchase,2020-03-01,55,0
3218,Complaint,Unresolved,Debit Card,Completed,Purchase,2020-03-01,55,0
3218,Complaint,Unresolved,Debit Card,Refunded,Refund,2020-03-01,55,0
3218,Complaint,Unresolved,PayPal,Refunded,Purchase,2020-03-01,55,0
3218,Complaint,Unresolved,PayPal,Refunded,Refund,2020-03-01,55,0
3488,Feedback,Implemented,Credit Card,Completed,Purchase,2020-03-01,55,0
3488,Feedback,Implemented,Credit Card,Completed,Refund,2020-03-01,55,0
3488,Feedback,Implemented,Debit Card,Completed,Refund,2020-03-01,55,0
10269,Feedback,Pending,Credit Card,Refunded,Purchase,2020-03-01,55,0
10269,Feedback,Unresolved,Credit Card,Refunded,Purchase,2020-03-01,55,0
8212,Feedback,Pending,PayPal,Completed,Refund,2020-03-01,55,0
8212,Support Request,Unresolved,PayPal,Completed,Refund,2020-03-01,55,0
8513,Complaint,Implemented,Credit Card,Refunded,Refund,2020-03-02,55,0
3168,Support Request,Implemented,PayPal,Refunded,Purchase,2020-03-03,55,0
3168,Support Request,Pending,PayPal,Refunded,Purchase,2020-03-03,55,0
3983,Complaint,Unresolved,Debit Card,Pending,Purchase,2020-03-03,55,0
10821,Complaint,Resolved,Debit Card,Pending,Refund,2020-03-04,55,0
5494,Complaint,Pending,Credit Card,Completed,Refund,2020-03-04,55,0
5494,Complaint,Pending,Debit Card,Pending,Purchase,2020-03-04,55,0
5494,Complaint,Pending,Debit Card,Refunded,Purchase,2020-03-04,55,0
5494,Complaint,Pending,PayPal,Completed,Purchase,2020-03-04,55,0
5494,Complaint,Unresolved,Credit Card,Completed,Refund,2020-03-04,55,0
5494,Complaint,Unresolved,Debit Card,Pending,Purchase,2020-03-04,55,0
5494,Complaint,Unresolved,Debit Card,Refunded,Purchase,2020-03-04,55,0
5494,Complaint,Unresolved,PayPal,Completed,Purchase,2020-03-04,55,0
8030,Complaint,Unresolved,Debit Card,Completed,Refund,2020-03-05,55,0
1801,Complaint,Pending,Debit Card,Refunded,Refund,2020-03-05,55,0
6928,Complaint,Pending,Debit Card,Refunded,Refund,2020-03-06,55,0
6928,Complaint,Pending,PayPal,Pending,Purchase,2020-03-06,55,0
5726,Support Request,Pending,Debit Card,Refunded,Refund,2020-03-07,55,0
10507,Complaint,Implemented,PayPal,Completed,Refund,2020-03-07,55,0
10507,Support Request,Pending,PayPal,Completed,Refund,2020-03-07,55,0
6330,Complaint,Implemented,PayPal,Refunded,Purchase,2020-03-08,55,0
6330,Complaint,Pending,PayPal,Refunded,Purchase,2020-03-08,55,0
6330,Complaint,Unresolved,PayPal,Refunded,Purchase,2020-03-08,55,0
6330,Feedback,Implemented,PayPal,Refunded,Purchase,2020-03-08,55,0
8047,Complaint,Pending,PayPal,Completed,Purchase,2020-03-08,55,0
8047,Complaint,Resolved,PayPal,Completed,Purchase,2020-03-08,55,0
2898,Feedback,Resolved,Credit Card,Completed,Refund,2020-03-08,55,0
5466,Complaint,Unresolved,Credit Card,Pending,Purchase,2020-03-09,55,0
5466,Support Request,Unresolved,Credit Card,Pending,Purchase,2020-03-09,55,0
9781,Complaint,Implemented,Credit Card,Pending,Purchase,2020-03-09,55,0
9781,Feedback,Unresolved,Credit Card,Pending,Purchase,2020-03-09,55,0
6831,Support Request,Implemented,Credit Card,Completed,Purchase,2020-03-10,55,0
7254,Complaint,Resolved,PayPal,Refunded,Purchase,2020-03-10,55,0
7254,Support Request,Implemented,PayPal,Refunded,Purchase,2020-03-10,55,0
